epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5833,0,0.39502,0,0,0,0,0,0,0.68231,0,0.000664444,0.000664444,0.000664444
2,76.0285,0,0.28614,0,0,0,0,0,0,0.59916,0,0.00119933,0.00119933,0.00119933
3,112.051,0,0.23141,0,0,0,0,0,0,0.51641,0,0.00160222,0.00160222,0.00160222
4,155.136,0,0.19175,0,0,0,0,0,0,0.46142,0,0.001406,0.001406,0.001406
5,202.415,0,0.16172,0,0,0,0,0,0,0.4151,0,0.001208,0.001208,0.001208
6,258.024,0,0.13943,0,0,0,0,0,0,0.37538,0,0.00101,0.00101,0.00101
7,303.903,0,0.12286,0,0,0,0,0,0,0.35129,0,0.000812,0.000812,0.000812
8,345.812,0,0.11174,0,0,0,0,0,0,0.33176,0,0.000614,0.000614,0.000614
9,380.865,0,0.10428,0,0,0,0,0,0,0.31846,0,0.000416,0.000416,0.000416
10,417.68,0,0.09982,0,0,0,0,0,0,0.3139,0,0.000218,0.000218,0.000218
